日塗工番号,色名,HEX
75-80H,ペールライトブルー,#B7DEF5
P75-80H,ペールライトブルー,#B7DEF5
76-80H,ペールブルー,#C2C6E5
P76-80H,ペールブルー,#C2C6E5
85-90A,ホワイト,#F5F2ED
P85-90A,ホワイト,#F5F2ED
85-90B,ホワイト,#F9F3F1
P85-90B,ホワイト,#F9F3F1
85-90D,ホワイト,#FDF1F8
P85-90D,ホワイト,#FDF1F8
89-70H,ソフトパープル,#C196BE
P89-70H,ソフトパープル,#C196BE
95-80L,ペールマゼンタ,#F4AAD8
P95-80L,ペールマゼンタ,#F4AAD8
95-85A,オフホワイト,#E3DAE1
P95-85A,オフホワイト,#E3DAE1
95-85B,オフホワイト,#E9D9E2
P95-85B,オフホワイト,#E9D9E2
95-80D,ライトマゼンタ,#DAC3CE
P95-80D,ライトマゼンタ,#DAC3CE
05-30T,レッド,#842025
P05-30T,レッド,#842025
15-65X,ビビッドオレンジ,#F48320
P15-65X,ビビッドオレンジ,#F48320
22-80V,ビビッドイエローオレンジ,#D7D028
P22-80V,ビビッドイエローオレンジ,#D7D028
39-60V,イエローグリーン,#57BF40
P39-60V,イエローグリーン,#57BF40
95-70L,ライトマゼンタ,#E786BC
P95-70L,ライトマゼンタ,#E786BC
95-80A,ライトグレー,#D2CACE
P95-80A,ライトグレー,#D2CACE
95-80B,ライトグレー,#CFC3CB
P95-80B,ライトグレー,#CFC3CB
95-70D,ソフトパープル,#B9A0B1
P95-70D,ソフトパープル,#B9A0B1
07-40X,ビビッドレッド,#C12826
P07-40X,ビビッドレッド,#C12826
15-70V,ビビッドオレンジ,#F58E2B
P15-70V,ビビッドオレンジ,#F58E2B
25-80W,ビビッドイエローオレンジ,#DEE931
P25-80W,ビビッドイエローオレンジ,#DEE931
42-50T,グリーン,#449655
P42-50T,グリーン,#449655
95-60P,マゼンタ,#C46194
P95-60P,マゼンタ,#C46194
95-70A,ライトグレー,#B1A7B1
P95-70A,ライトグレー,#B1A7B1
95-70B,ライトグレー,#B3A8B1
P95-70B,ライトグレー,#B3A8B1
95-60D,ソフトマゼンタ,#9F8896
P95-60D,ソフトマゼンタ,#9F8896
07-40V,レッド,#AB2329
P07-40V,レッド,#AB2329
17-70X,ビビッドオレンジ,#D99520
P17-70X,ビビッドオレンジ,#D99520
27-85V,ビビッドイエローオレンジ,#E2EB32
P27-85V,ビビッドイエローオレンジ,#E2EB32
45-50T,ブルーグリーン,#458D6B
P45-50T,ブルーグリーン,#458D6B
95-70H,ライトマゼンタ,#C892AE
P95-70H,ライトマゼンタ,#C892AE
95-60B,ソフトパープル,#968994
P95-60B,ソフトパープル,#968994
95-50D,グレイッシュパープル,#7F6C7A
P95-50D,グレイッシュパープル,#7F6C7A
99-70H,ライトマゼンタ,#D998AA
P99-70H,ライトマゼンタ,#D998AA
09-50V,ビビッドレッド,#CD402B
P09-50V,ビビッドレッド,#CD402B
19-70V,ビビッドオレンジ,#CFA320
P19-70V,ビビッドオレンジ,#CFA320
29-80V,ビビッドイエロー,#BCDE32
P29-80V,ビビッドイエロー,#BCDE32
46-60T,グリーン,#3CA857
P46-60T,グリーン,#3CA857
95-50H,パープル,#8D627F
P95-50H,パープル,#8D627F
95-50B,グレー,#79727B
P95-50B,グレー,#79727B
95-40D,グレイッシュマゼンタ,#615059
P95-40D,グレイッシュマゼンタ,#615059
99-30P,レッド,#70242F
P99-30P,レッド,#70242F
09-50X,ビビッドレッドオレンジ,#D64220
P09-50X,ビビッドレッドオレンジ,#D64220
19-75X,ビビッドイエローオレンジ,#DAB522
P19-75X,ビビッドイエローオレンジ,#DAB522
32-70T,ビビッドイエローグリーン,#8FD139
P32-70T,ビビッドイエローグリーン,#8FD139
47-60T,ブルーグリーン,#53AC82
P47-60T,ブルーグリーン,#53AC82
95-30H,ダークマゼンタ,#54323F
P95-30H,ダークマゼンタ,#54323F
95-40B,ダークグレー,#5D575D
P95-40B,ダークグレー,#5D575D
95-30D,ダークレッド,#47363A
P95-30D,ダークレッド,#47363A
05-50V,ビビッドレッド,#C63843
P05-50V,ビビッドレッド,#C63843
12-50V,ビビッドレッドオレンジ,#C45521
P12-50V,ビビッドレッドオレンジ,#C45521
21-75X,ビビッドイエローオレンジ,#E8BA30
P21-75X,ビビッドイエローオレンジ,#E8BA30
35-70V,ビビッドイエローグリーン,#86CE3A
P35-70V,ビビッドイエローグリーン,#86CE3A
52-50P,ブルーグリーン,#4B9384
P52-50P,ブルーグリーン,#4B9384
89-30H,ダークパープル,#442D3F
P89-30H,ダークパープル,#442D3F
95-30B,ダークレッドオレンジ,#3F3835
P95-30B,ダークレッドオレンジ,#3F3835
95-20D,ダークレッド,#292322
P95-20D,ダークレッド,#292322
05-40V,レッド,#AF2B2B
P05-40V,レッド,#AF2B2B
12-60X,ビビッドレッドオレンジ,#E1641F
P12-60X,ビビッドレッドオレンジ,#E1641F
22-70V,ビビッドイエローオレンジ,#C0BC24
P22-70V,ビビッドイエローオレンジ,#C0BC24
35-60T,イエローグリーン,#4DA536
P35-60T,イエローグリーン,#4DA536
55-50P,シアン,#49878D
P55-50P,シアン,#49878D
95-90A,ホワイト,#FAF0F7
P95-90A,ホワイト,#FAF0F7
95-90B,ホワイト,#F8EAF4
P95-90B,ホワイト,#F8EAF4
95-90D,ペールマゼンタ,#FCE4F2
P95-90D,ペールマゼンタ,#FCE4F2
05-40X,ビビッドレッド,#B42229
P05-40X,ビビッドレッド,#B42229
15-60V,ビビッドオレンジ,#DA7A26
P15-60V,ビビッドオレンジ,#DA7A26
22-80X,ビビッドイエローオレンジ,#E1C824
P22-80X,ビビッドイエローオレンジ,#E1C824
37-60T,ビビッドイエローグリーン,#60C236
P37-60T,ビビッドイエローグリーン,#60C236
55-70P,ブルーグリーン,#6BBEB2
P55-70P,ブルーグリーン,#6BBEB2
59-60P,シアン,#5C9CB1
P59-60P,シアン,#5C9CB1
76-50T,ブルー,#5B6ABA
P76-50T,ブルー,#5B6ABA
92-40V,パープル,#922D74
P92-40V,パープル,#922D74
65-40P,ライトブルー,#3A5D91
P65-40P,ライトブルー,#3A5D91
77-50T,ブルー,#656BBC
P77-50T,ブルー,#656BBC
95-40V,マゼンタ,#A52A69
P95-40V,マゼンタ,#A52A69
69-30P,ライトブルー,#31437A
P69-30P,ライトブルー,#31437A
77-40V,ブルー,#4D52AC
P77-40V,ブルー,#4D52AC
95-50P,グレイッシュパープル,#80416E
P95-50P,グレイッシュパープル,#80416E
69-40T,ライトブルー,#3E59A6
P69-40T,ライトブルー,#3E59A6
77-30T,ブルー,#393D86
P77-30T,ブルー,#393D86
99-60T,ビビッドマゼンタ,#EF3B6E
P99-60T,ビビッドマゼンタ,#EF3B6E
69-50T,ライトブルー,#4D6FBF
P69-50T,ライトブルー,#4D6FBF
79-40T,ブルー,#5A499D
P79-40T,ブルー,#5A499D
99-50X,ビビッドマゼンタ,#D13562
P99-50X,ビビッドマゼンタ,#D13562
72-40T,ライトブルー,#3F59A2
P72-40T,ライトブルー,#3F59A2
85-30P,グレイッシュバイオレット,#503368
P85-30P,グレイッシュバイオレット,#503368
99-40V,レッド,#AC2C47
P99-40V,レッド,#AC2C47
75-30P,ライトブルー,#34427E
P75-30P,ライトブルー,#34427E
85-40T,バイオレット,#6E408A
P85-40T,バイオレット,#6E408A
95-50V,ビビッドマゼンタ,#C2387E
P95-50V,ビビッドマゼンタ,#C2387E
75-40T,ライトブルー,#4354A0
P75-40T,ライトブルー,#4354A0
89-40T,パープル,#80357C
P89-40T,パープル,#80357C
